Category,Item_Code,Price,Quantity
46,am,0.118,1244
46,am,0.151,12
46,am,0.6,10
46,am,0.706,281
46,am,0.819,949
46,dh,0.13,389
46,dh,0.148,530
46,dh,0.196,448
46,dh,0.208,18
46,dh,0.262,448
46,dh,0.734,16
46,dh,1.276,300
46,dh,1.51,1483
46,nv,0.084,533
46,nv,0.151,24
46,nv,0.2,17
46,nv,0.239,568
46,nv,0.318,568
46,nv,0.994,326
46,nv,1.086,2323
46,ab,0.146,568
46,ab,0.154,24
46,ab,0.194,568
46,ab,0.2,17
46,ab,0.369,1352
46,bz,0.067,290
46,bz,0.134,1
46,bz,0.135,755
46,bz,0.328,395
46,bz,0.369,1542
46,ght,0.2,1790
46,ot,0.299,490
46,ot,0.316,6
46,ot,0.398,490
46,ot,1.028,209
46,ot,1.145,2164
46,vz,0.014,327
46,vz,0.08,1136
46,vz,0.134,2324
46,opd,0.011,123
36,fb,0.032,15734
36,fb,0.034,400
36,fb,0.04,175109
36,fb,0.054,2
36,fb,0.06,645
36,fb,0.087,1
36,fb,0.167,6164
36,vi,0.031,39683
36,vi,0.034,602
36,vi,0.051,97363
36,vi,0.052,8425
36,vi,0.063,200
36,vi,0.116,1
36,vi,0.502,125
36,dh,0.006,40436
36,dh,0.04,200
36,dh,0.078,1410
36,dh,0.094,1
36,dh,0.111,96898
36,dh,0.116,1
36,dh,0.183,128
36,dh,0.48,99817
36,xk,0.051,1811
36,xk,0.055,695
36,xk,0.094,1
36,xk,0.231,191678
36,an,0.006,40308
36,an,0.08,1
36,an,0.116,1
36,an,0.13,200
36,an,0.288,1614
36,an,0.384,191382
36,ds,0.01,33480
36,ds,0.011,1398
36,ds,0.026,94578
36,ds,0.03,648
36,ds,0.04,200
36,ds,0.067,2
36,ds,0.1,91044
36,ds,0.116,1
36,ds,0.502,5598
36,tg,0.199,18361
36,tg,0.216,200
36,tg,0.374,97411
36,tg,0.454,1
36,tg,0.456,128
36,tg,0.752,71181
36,tg,1.067,144
36,hw,0.051,1611
36,hw,0.114,200
36,hw,0.12,1
36,hw,0.151,90065
36,hw,0.196,1
36,hw,0.291,646
36,hw,0.502,99421
36,zr,0.006,40230
36,zr,0.011,1614
36,zr,0.045,200
36,zr,0.078,1
36,zr,1.302,193321
36,ls,0.071,39968
36,ls,0.139,200
36,ls,0.38,1414
36,ls,0.384,189555
36,zk,0.031,39595
36,zk,0.043,744
36,zk,0.068,1
36,zk,0.08,200
36,zk,0.38,1414
36,zk,0.384,188987
36,pm,0.004,180
36,pm,0.008,39400
36,pm,0.01,91651
36,pm,0.011,1814
36,pm,0.078,1
36,pm,0.502,99024
36,ig,0.027,39792
36,ig,0.03,1125
36,ig,0.054,2
36,ig,0.055,766
